Name of District,Name of Province,Name of Division,Settlement_Weighted,Agriculture_Livestock_Weighted,Housing_Amenities_Weighted,Infrastructure_Services_Weighted,Education_Weighted,Health_Weighted,Recreation_Sports_Weighted,Social_Community_Weighted,Industry_Weighted,Credit_Finance_Weighted,Disaster_Resilience_Weighted,Composite_Weighted_Score
BAGH DISTRICT,AZAD JAMMU AND KASHMIR,RAWALAKOT DIVISION,2.7333333333333334,1.1200000000000006,7.066666666666667,6.4799999999999995,14.1,11.499999999999998,3.6333333333333337,5.52,1.173333333333333,0.03333333333333355,0.6666666666666667,54.026666666666664
HAVELI DISTRICT,AZAD JAMMU AND KASHMIR,RAWALAKOT DIVISION,3.1999999999999997,1.3599999999999994,4.133333333333334,4.88,10.799999999999999,5.8999999999999995,3.966666666666667,4.96,1.173333333333333,0.8333333333333333,1.0266666666666666,42.23333333333333
POONCH DISTRICT,AZAD JAMMU AND KASHMIR,RAWALAKOT DIVISION,2.9333333333333336,1.9200000000000004,8.133333333333333,7.919999999999998,13.899999999999999,8.700000000000001,3.8000000000000003,5.32,2.72,1.8666666666666665,0.30666666666666664,57.519999999999996
SUDHNOTI DISTRICT,AZAD JAMMU AND KASHMIR,RAWALAKOT DIVISION,2.533333333333333,1.5999999999999996,5.600000000000001,4.640000000000001,14.600000000000001,10.4,0.9000000000000002,2.12,1.173333333333333,3.2,0.06666666666666665,46.833333333333336
MALIR DISTRICT,SINDH,KARACHI DIVISION,1.1333333333333329,7.119999999999999,5.866666666666667,10.959999999999999,12.0,7.199999999999999,4.233333333333333,5.92,7.8933333333333335,2.1000000000000005,0.96,65.38666666666666
KARACHI WEST DISTRICT,SINDH,KARACHI DIVISION,0.26666666666666616,5.68,5.733333333333333,10.08,8.700000000000001,10.5,3.5333333333333337,5.3999999999999995,7.413333333333333,2.5666666666666664,0.06666666666666665,59.940000000000005
LAHORE DISTRICT,PUNJAB,LAHORE DIVISION,1.0666666666666669,8.8,10.0,12.0,14.5,14.7,4.7666666666666675,4.0,7.946666666666666,2.8000000000000007,0.14666666666666672,80.72666666666666
SOHBATPUR DISTRICT,BALOCHISTAN,NASIRABAD DIVISION,3.2666666666666666,7.4399999999999995,4.666666666666667,5.119999999999999,8.1,8.4,4.3,0.04000000000000026,5.066666666666666,4.3,0.06666666666666665,50.76666666666666
NAUSHAHRO FEROZE DISTRICT,SINDH,SHAHEED BENAZIRABAD DIVISION,4.200000000000001,10.08,6.800000000000001,9.52,8.2,12.0,0.7666666666666666,2.6799999999999997,6.1866666666666665,0.10000000000000009,0.4133333333333334,60.946666666666665
NAGAR DISTRICT,GILGIT BALTISTAN,GILGIT DIVISION,0.6000000000000005,0.08000000000000052,6.733333333333333,6.0,12.299999999999999,12.299999999999999,3.8666666666666667,5.840000000000001,6.986666666666666,3.1,1.28,59.086666666666666
KOHISTAN DISTRICT,KHYBER PAKHTUNKHWA,HAZARA DIVISION,7.466666666666666,0.8800000000000002,0.5333333333333334,0.8800000000000002,0.19999999999999962,0.6999999999999995,0.30000000000000027,0.52,1.173333333333333,4.7,1.3333333333333335,18.686666666666664
LOWER KOHISTAN,KHYBER PAKHTUNKHWA,HAZARA DIVISION,7.733333333333333,1.1999999999999997,1.6666666666666665,1.5999999999999996,0.30000000000000027,1.4999999999999998,0.4333333333333334,0.7999999999999998,3.413333333333333,3.5666666666666673,1.5066666666666666,23.720000000000002
KOLAI PALAS KOHISTAN,KHYBER PAKHTUNKHWA,HAZARA DIVISION,6.9333333333333345,0.0,0.33333333333333326,0.5599999999999996,0.4999999999999999,0.9999999999999998,0.4666666666666669,0.07999999999999985,1.173333333333333,4.5,1.2533333333333334,16.8
