Name of District,Name of Province,Name of Division,Settlement_Weighted,Agriculture_Livestock_Weighted,Housing_Amenities_Weighted,Infrastructure_Services_Weighted,Education_Weighted,Health_Weighted,Recreation_Sports_Weighted,Social_Community_Weighted,Industry_Weighted,Credit_Finance_Weighted,Disaster_Resilience_Weighted,Composite_Weighted_Score
HAFIZABAD DISTRICT,PUNJAB,GUJRANWALA DIVISION,4.3999999999999995,9.76,9.600000000000001,9.6,8.3,9.0,3.1333333333333337,1.1600000000000001,6.346666666666667,2.033333333333333,0.92,64.25333333333333
MANDI BAHAUDDIN DISTRICT,PUNJAB,GUJRANWALA DIVISION,5.466666666666667,11.2,9.533333333333335,10.879999999999999,12.500000000000002,11.199999999999998,2.8333333333333335,2.04,7.733333333333334,1.2333333333333336,0.8799999999999999,75.5
NAROWAL DISTRICT,PUNJAB,GUJRANWALA DIVISION,9.266666666666666,7.760000000000001,8.266666666666667,9.04,7.199999999999999,7.8999999999999995,2.1000000000000005,0.3999999999999999,2.773333333333334,2.066666666666667,0.45333333333333337,57.22666666666667
SIALKOT DISTRICT,PUNJAB,GUJRANWALA DIVISION,9.666666666666668,8.72,9.8,11.6,9.700000000000001,11.299999999999999,2.5666666666666664,1.8800000000000001,7.5200000000000005,0.7666666666666666,0.72,74.24
KASUR DISTRICT,PUNJAB,LAHORE DIVISION,8.933333333333334,10.64,9.066666666666666,9.679999999999998,10.9,13.1,3.2666666666666666,1.24,6.826666666666666,1.3666666666666667,0.5466666666666666,75.56666666666666
NANKANA SAHIB DISTRICT,PUNJAB,LAHORE DIVISION,5.600000000000001,10.4,8.6,9.76,9.1,11.1,4.566666666666666,1.5199999999999996,4.640000000000001,0.06666666666666654,0.52,65.87333333333332
SHEIKHUPURA DISTRICT,PUNJAB,LAHORE DIVISION,8.200000000000001,10.0,9.0,10.479999999999999,10.6,13.5,3.4000000000000004,1.3199999999999998,6.88,0.23333333333333317,0.6133333333333333,74.22666666666666
KHANEWAL DISTRICT,PUNJAB,MULTAN DIVISION,8.4,11.52,7.933333333333334,9.12,9.6,11.000000000000002,4.0,1.7199999999999998,5.706666666666668,0.9333333333333332,0.76,70.69333333333334
LODHRAN DISTRICT,PUNJAB,MULTAN DIVISION,5.866666666666667,10.959999999999999,7.4,7.839999999999999,10.1,10.3,1.9000000000000001,1.9199999999999997,5.279999999999999,1.3,0.68,63.54666666666667
MULTAN DISTRICT,PUNJAB,MULTAN DIVISION,8.0,11.36,8.8,10.32,10.2,13.2,4.666666666666667,2.28,7.04,0.6666666666666665,1.0933333333333333,77.6266666666667
VEHARI DISTRICT,PUNJAB,MULTAN DIVISION,8.533333333333333,11.84,8.333333333333334,8.72,7.599999999999998,9.700000000000001,3.4666666666666672,1.1199999999999999,7.573333333333334,0.4666666666666669,0.5733333333333333,67.92666666666668
ATTOCK DISTRICT,PUNJAB,RAWALPINDI DIVISION,7.4,7.039999999999999,8.4,9.36,11.7,10.799999999999999,3.0666666666666664,2.44,3.5733333333333333,1.0666666666666669,0.8533333333333333,65.7
CHAKWAL DISTRICT,PUNJAB,RAWALPINDI DIVISION,6.866666666666667,6.8,7.866666666666666,10.0,12.700000000000001,12.700000000000001,3.3666666666666667,4.56,4.16,2.466666666666667,0.3600000000000001,71.84666666666666
JHELUM DISTRICT,PUNJAB,RAWALPINDI DIVISION,7.0,6.159999999999999,8.200000000000001,10.4,9.4,11.899999999999999,2.4333333333333336,1.6800000000000002,3.84,3.833333333333333,0.7466666666666666,65.59333333333332
RAWALPINDI DISTRICT,PUNJAB,RAWALPINDI DIVISION,9.866666666666667,6.960000000000001,8.466666666666667,9.92,11.1,11.799999999999999,3.733333333333333,2.6399999999999997,4.8,1.9333333333333336,0.21333333333333337,71.43333333333334
OKARA DISTRICT,PUNJAB,SAHIWAL DIVISION,9.0,11.04,7.6000000000000005,9.2,7.300000000000001,10.1,3.1,1.28,6.293333333333333,2.0,0.17333333333333337,67.08666666666667
PAKPATTAN DISTRICT,PUNJAB,SAHIWAL DIVISION,6.666666666666668,10.879999999999999,8.0,8.879999999999999,6.699999999999999,9.899999999999997,4.733333333333333,0.7600000000000002,3.7333333333333334,0.8666666666666668,0.7866666666666666,61.906666666666666
SAHIWAL DISTRICT,PUNJAB,SAHIWAL DIVISION,6.133333333333333,10.799999999999999,8.666666666666668,10.799999999999999,13.399999999999999,13.899999999999999,4.4,1.7599999999999998,4.266666666666667,1.0999999999999999,0.15999999999999992,75.38666666666666
BHAKKAR DISTRICT,PUNJAB,SARGODHA DIVISION,7.800000000000001,9.6,6.4,6.720000000000001,6.2,7.1000000000000005,4.133333333333334,0.5999999999999999,5.013333333333334,0.13333333333333308,1.04,54.74
KHUSHAB DISTRICT,PUNJAB,SARGODHA DIVISION,5.0,7.199999999999999,6.066666666666667,6.56,8.4,9.499999999999998,1.5000000000000002,3.5999999999999996,2.826666666666667,2.6,1.0533333333333332,54.30666666666667
MIANWALI DISTRICT,PUNJAB,SARGODHA DIVISION,3.0000000000000004,8.32,6.9333333333333345,8.24,11.199999999999998,11.4,2.7333333333333334,3.28,5.226666666666667,0.8000000000000003,0.5333333333333334,61.66666666666666
SARGODHA DISTRICT,PUNJAB,SARGODHA DIVISION,9.4,11.76,8.866666666666667,10.239999999999998,12.2,12.6,4.466666666666667,1.1999999999999997,5.493333333333334,1.1333333333333335,0.3999999999999999,77.76000000000002
BADIN DISTRICT,SINDH,HYDERABAD DIVISION,9.466666666666667,8.959999999999999,3.4666666666666672,4.4799999999999995,4.5,6.1,0.3666666666666668,5.239999999999999,6.72,2.666666666666667,1.6266666666666667,53.593333333333334
DADU DISTRICT,SINDH,HYDERABAD DIVISION,6.533333333333333,7.5200000000000005,4.466666666666667,5.52,6.1,5.800000000000001,1.9666666666666666,4.16,7.626666666666668,2.8666666666666667,1.4133333333333336,53.97333333333333
HYDERABAD DISTRICT,SINDH,HYDERABAD DIVISION,0.9333333333333338,10.16,8.733333333333333,10.64,14.200000000000001,14.8,3.833333333333333,4.8,7.84,0.3666666666666668,0.1200000000000001,76.42666666666668
JAMSHORO DISTRICT,SINDH,HYDERABAD DIVISION,4.800000000000001,5.359999999999999,3.333333333333334,5.68,3.2999999999999994,4.799999999999999,2.666666666666667,5.04,5.546666666666668,1.9000000000000001,1.7866666666666666,44.21333333333334
MATIARI DISTRICT,SINDH,HYDERABAD DIVISION,0.40000000000000036,8.879999999999999,7.666666666666666,9.28,12.9,13.799999999999999,0.7333333333333331,4.719999999999999,5.76,2.2333333333333334,1.1600000000000001,67.53333333333333
TANDO ALLAHYAR DISTRICT,SINDH,HYDERABAD DIVISION,1.2666666666666673,10.719999999999999,7.2666666666666675,8.48,13.3,14.600000000000001,0.5333333333333334,4.4,6.026666666666666,0.6333333333333336,0.49333333333333346,67.72000000000001
TANDO MUHAMMAD KHAN DISTRICT,SINDH,HYDERABAD DIVISION,3.5333333333333337,9.28,5.533333333333334,5.040000000000001,5.599999999999999,6.8999999999999995,1.1666666666666665,2.4,5.866666666666667,3.0666666666666664,0.06666666666666665,48.45333333333334
THATTA DISTRICT,SINDH,HYDERABAD DIVISION,6.800000000000001,9.36,3.1333333333333337,3.9199999999999995,4.3999999999999995,4.3,1.5333333333333332,3.1599999999999997,4.32,2.3666666666666667,1.8,45.09333333333333
SUJAWAL DISTRICT,SINDH,HYDERABAD DIVISION,6.733333333333333,8.56,3.0000000000000004,4.16,4.1,4.5,2.166666666666667,4.92,2.5599999999999996,2.1333333333333333,0.34666666666666673,43.18
JACOBABAD DISTRICT,SINDH,LARKANA DIVISION,4.666666666666667,8.64,4.333333333333334,6.879999999999999,5.500000000000001,6.8,1.3333333333333337,4.28,6.5600000000000005,0.4333333333333334,0.2666666666666666,49.693333333333335
KASHMORE DISTRICT,SINDH,LARKANA DIVISION,1.9999999999999998,8.0,4.533333333333334,4.8,9.0,8.6,0.06666666666666654,3.4800000000000004,3.0933333333333337,1.4333333333333333,0.7066666666666668,45.71333333333333
LARKANA DISTRICT,SINDH,LARKANA DIVISION,4.266666666666667,9.2,6.866666666666667,9.84,9.2,12.2,1.7333333333333336,3.5599999999999996,6.666666666666668,1.5999999999999999,0.24,65.37333333333333
KAMBAR SHAHDAD KOT DISTRICT,SINDH,LARKANA DIVISION,7.2666666666666675,8.16,5.0,5.6,5.3,6.0,1.2000000000000002,1.56,5.333333333333334,2.3000000000000003,0.09333333333333327,47.81333333333334
SHIKARPUR DISTRICT,SINDH,LARKANA DIVISION,4.6000000000000005,7.68,5.466666666666667,7.5200000000000005,7.8999999999999995,9.2,1.2666666666666666,2.84,3.893333333333334,1.2666666666666666,0.5066666666666666,52.14000000000001
MIRPUR KHAS DISTRICT,SINDH,MIRPUR KHAS DIVISION,8.466666666666667,9.92,4.066666666666666,5.76,5.8999999999999995,5.1,0.39999999999999986,4.039999999999999,5.44,2.9000000000000004,0.2533333333333334,52.246666666666655
SANGHAR DISTRICT,SINDH,SHAHEED BENAZIRABAD DIVISION,8.333333333333334,9.679999999999998,5.066666666666666,7.359999999999999,5.3999999999999995,8.0,1.0666666666666669,4.6,3.9466666666666663,0.49999999999999994,0.9733333333333335,54.92666666666667
THARPARKAR DISTRICT,SINDH,MIRPUR KHAS DIVISION,7.133333333333335,1.6800000000000002,1.5333333333333332,3.039999999999999,4.3,10.9,3.5666666666666673,5.76,4.0,0.33333333333333326,1.72,43.96666666666667
UMER KOT DISTRICT,SINDH,MIRPUR KHAS DIVISION,6.466666666666668,8.48,2.9333333333333336,6.079999999999998,6.3999999999999995,8.899999999999999,2.3666666666666667,3.7199999999999998,2.453333333333333,1.6333333333333333,0.8133333333333334,50.24666666666666
GHOTKI DISTRICT,SINDH,SUKKUR DIVISION,5.533333333333334,9.439999999999998,5.333333333333334,6.8,6.999999999999999,8.3,2.1999999999999997,2.16,6.4,0.7000000000000002,0.42666666666666675,54.29333333333334
KHAIRPUR DISTRICT,SINDH,SUKKUR DIVISION,8.733333333333333,10.32,6.0,8.4,9.299999999999999,13.0,1.4000000000000004,5.0,3.68,3.2999999999999994,1.1333333333333333,70.26666666666667
SHAHEED BENAZIRABAD DISTRICT,SINDH,SHAHEED BENAZIRABAD DIVISION,5.2,10.239999999999998,6.533333333333333,7.599999999999999,7.399999999999999,8.1,0.6333333333333336,3.12,7.786666666666668,1.0333333333333334,0.43999999999999995,58.08666666666666
SUKKUR DISTRICT,SINDH,SUKKUR DIVISION,5.733333333333333,7.599999999999999,4.266666666666667,6.4,5.2,6.300000000000001,2.466666666666667,1.04,4.48,1.8333333333333337,1.08,46.4
AWARAN DISTRICT,BALOCHISTAN,KALAT DIVISION,5.4,4.0,0.13333333333333308,0.08000000000000052,0.8,0.4999999999999999,2.7,2.2,1.173333333333333,3.0333333333333337,1.8933333333333335,21.913333333333334
KALAT DISTRICT,BALOCHISTAN,KALAT DIVISION,7.533333333333333,3.3600000000000003,0.40000000000000036,0.2400000000000002,0.6999999999999995,0.8,1.8333333333333337,0.2799999999999998,1.706666666666667,4.333333333333334,1.6933333333333334,22.880000000000003
SHAHEED SIKANDAR ABAD DISTRICT,BALOCHISTAN,KALAT DIVISION,4.733333333333333,4.32,2.1333333333333337,3.12,3.1,3.499999999999999,2.2333333333333334,1.8399999999999999,1.173333333333333,4.633333333333333,1.56,32.34666666666667
KHARAN DISTRICT,BALOCHISTAN,RAKHSHAN DIVISION,4.066666666666666,6.4799999999999995,1.8000000000000005,1.7599999999999991,2.1,2.4999999999999996,4.6000000000000005,2.9200000000000004,1.9733333333333338,1.5000000000000002,1.76,31.460000000000004
KHUZDAR DISTRICT,BALOCHISTAN,KALAT DIVISION,10.0,4.08,0.0666666666666671,0.1599999999999997,0.10000000000000064,0.10000000000000064,0.9999999999999999,3.2,1.92,3.3666666666666667,1.4533333333333334,25.446666666666673
LASBELA DISTRICT,BALOCHISTAN,KALAT DIVISION,8.266666666666667,6.319999999999999,0.9333333333333338,2.08,1.4000000000000006,2.7000000000000006,4.266666666666667,4.76,2.9866666666666664,4.6000000000000005,1.666666666666667,39.98
MASTUNG DISTRICT,BALOCHISTAN,KALAT DIVISION,5.266666666666667,5.52,4.0,3.7600000000000002,3.799999999999999,2.3,1.5666666666666669,1.44,1.173333333333333,4.166666666666667,1.8266666666666667,34.82
WASHUK DISTRICT,BALOCHISTAN,RAKHSHAN DIVISION,3.8000000000000003,4.8,0.20000000000000018,0.4800000000000004,0.6000000000000005,1.1000000000000003,2.3333333333333335,0.3600000000000003,1.173333333333333,3.933333333333333,1.7733333333333334,20.553333333333335
GWADAR DISTRICT,BALOCHISTAN,MEKRAN DIVISION,4.466666666666667,2.56,0.6000000000000005,0.3999999999999999,0.39999999999999925,0.6000000000000005,3.2999999999999994,5.08,4.96,3.4333333333333336,1.5466666666666666,27.346666666666668
KECH DISTRICT,BALOCHISTAN,MEKRAN DIVISION,6.599999999999999,1.04,0.9999999999999999,0.7200000000000006,1.7999999999999998,0.39999999999999925,4.533333333333333,5.2,1.386666666666667,4.233333333333333,1.7066666666666666,28.62
PANJGUR DISTRICT,BALOCHISTAN,MEKRAN DIVISION,2.6666666666666674,3.7600000000000002,0.7999999999999997,1.28,3.4,1.3,4.7,3.32,2.6133333333333333,4.2,1.92,29.96
