Name of District,Name of Province,Name of Division,Total Number of Settlements,Total Villages,Development_Index,Housing_Score,Electricity_Score,Water_Score,Sanitation_Score,Connectivity_Score
NORTH WAZIRISTAN DISTRICT,KHYBER PAKHTUNKHWA,BANNU DIVISION,491,168,0.3307034845496383,0.0,0.502958579881656,0.952662721893491,0.1420118343195265,0.544378698224852
ORAKZAI DISTRICT,KHYBER PAKHTUNKHWA,KOHAT DIVISION,386,72,0.32724505320091324,0.01369863,0.575342465753425,0.986301369863014,0.3013698630136985,0.4383561643835615
RAJANPUR DISTRICT,PUNJAB,D.G.KHAN DIVISION,1655,532,0.3235384869506102,0.091451292,0.38170974200994,0.712301587301587,0.2236186059840955,0.71031746031746
KHYBER DISTRICT,KHYBER PAKHTUNKHWA,PESHAWAR DIVISION,704,112,0.318713450331384,0.00877193,0.56140350877193,0.982456140350877,0.31578947377193,0.30701754385964897
UMER KOT DISTRICT,SINDH,MIRPUR KHAS DIVISION,1683,235,0.31631205669030726,0.008510638,0.693617021276596,0.425531915,0.1829787231595745,0.8957446808510634
BARKHAN DISTRICT,BALOCHISTAN,ZHOB DIVISION,612,132,0.31383170121607945,0.0229007633587786,0.198473282572519,0.992424242424242,0.2786259541984735,0.5766539440203565
DERA GHAZI KHAN DISTRICT,PUNJAB,D.G.KHAN DIVISION,3205,826,0.3119679636945198,0.0572851805728518,0.409876543209877,0.798773006134969,0.2171542299200087,0.617043005079815
KILLA SAIFULLAH DISTRICT,BALOCHISTAN,ZHOB DIVISION,678,164,0.3113854595336078,0.0123456790123456,0.567901234518519,0.981481481481482,0.07407407407407425,0.537037037037037
KHARAN DISTRICT,BALOCHISTAN,RAKHSHAN DIVISION,333,180,0.3088512241531701,0.028248588,0.5593220337570619,0.988700564971751,0.0310734463276836,0.587570621468927
KILLA ABDULLAH DISTRICT,BALOCHISTAN,QUETTA DIVISION,509,101,0.3069306930033004,0.0,0.425742574257426,0.99009900990099,0.2722772276732675,0.3613861386138615
SHAHEED SIKANDAR ABAD DISTRICT,BALOCHISTAN,KALAT DIVISION,1322,261,0.3064989517526205,0.0113207547169811,0.524528301886792,0.992452830188679,0.2452830188679245,0.4150943396132075
TORGHAR DISTRICT,KHYBER PAKHTUNKHWA,HAZARA DIVISION,301,97,0.3040935672982457,0.0,0.305263157894737,0.968421053,0.20000000000000015,0.5526315789473685
JHAL MAGSI DISTRICT,BALOCHISTAN,NASIRABAD DIVISION,748,198,0.3015075376806255,0.005025126,0.2160804020100498,0.648241206030151,0.32160804020100525,0.688442210834171
ZHOB DISTRICT,BALOCHISTAN,ZHOB DIVISION,562,103,0.30078563417396204,0.0303030303030303,0.676767676767677,0.98989899,0.08585858585858609,0.43939393939393945
PANJGUR DISTRICT,BALOCHISTAN,MEKRAN DIVISION,1407,202,0.29629629626797394,0.034313725,0.348039215686275,0.970588235294118,0.137254901892157,0.5294117647058825
KASHMORE DISTRICT,SINDH,LARKANA DIVISION,711,147,0.2927927928018017,0.0337837837837837,0.31081081081081047,0.810810810810811,0.33783783768918896,0.489864864864865
SHERANI DISTRICT,BALOCHISTAN,ZHOB DIVISION,607,179,0.2750153468483732,0.011049723756906,0.480662983425414,0.994475138,0.218232044378453,0.3425414364640885
SUJAWAL DISTRICT,SINDH,HYDERABAD DIVISION,1246,379,0.27482229545088205,0.009345794,0.097178683,0.653125,0.44665595794392504,0.386546006585044
LORALAI DISTRICT,BALOCHISTAN,ZHOB DIVISION,600,177,0.27323124757840656,0.0115606936416184,0.40350877192982504,0.953757225,0.05491329473121385,0.5433526011560694
DUKI DISTRICT,BALOCHISTAN,ZHOB DIVISION,371,87,0.2728074175157318,0.0,0.317647058529412,0.941176470588235,0.07058823529411745,0.627906976744186
ZIARAT DISTRICT,BALOCHISTAN,SIBI DIVISION,232,91,0.2707535121072797,0.0229885057471264,0.689655172413793,0.988505747126437,0.0862068965517241,0.310344827591954
BADIN DISTRICT,SINDH,HYDERABAD DIVISION,4012,472,0.26536999771696845,0.024144869,0.255533198937626,0.44466800804829,0.19416498996277648,0.7022132796780685
CHAGAI DISTRICT,BALOCHISTAN,RAKHSHAN DIVISION,501,48,0.26388888885185174,0.0,0.0625,0.958333333333333,0.0937499999999998,0.4895833331666665
JAFFARABAD DISTRICT,BALOCHISTAN,NASIRABAD DIVISION,769,170,0.26147343004830925,0.032608696,0.6086956530000001,0.157608695652174,0.1902173912826085,0.8070652173913044
LASBELA DISTRICT,BALOCHISTAN,KALAT DIVISION,1423,299,0.26000748214889646,0.04040404,0.218855218579125,0.750841750841751,0.1515151516296295,0.528619528619529
NASIRABAD DISTRICT,BALOCHISTAN,NASIRABAD DIVISION,746,165,0.2534930138829008,0.005988024,0.455089819982036,0.652694610778443,0.2485029940119758,0.4850299401197605
KECH DISTRICT,BALOCHISTAN,MEKRAN DIVISION,937,284,0.25150421185439237,0.046931408,0.274368231465704,0.877256317689531,0.1696750905,0.3465703971119135
KACHHI DISTRICT,BALOCHISTAN,NASIRABAD DIVISION,421,305,0.2507542000308225,0.01369863,0.6746575342465759,0.311418685121107,0.30132311000981826,0.4317406144982935
SOUTH WAZIRISTAN DISTRICT,KHYBER PAKHTUNKHWA,DERA ISMAIL KHAN DIVISION,926,372,0.2480893591205174,0.005291005,0.338624338624339,0.973544973544974,0.1640211640211641,0.3187830687830685
WASHUK DISTRICT,BALOCHISTAN,RAKHSHAN DIVISION,331,232,0.24290780142553187,0.0,0.14893617046808502,0.968085106382979,0.007978723436170199,0.5159574468085105
PISHIN DISTRICT,BALOCHISTAN,QUETTA DIVISION,593,374,0.24281045750326782,0.0117647058823529,0.355882352941176,0.973529411764706,0.12499999999999985,0.329411764705882
MUSAKHEL DISTRICT,BALOCHISTAN,ZHOB DIVISION,510,71,0.24100156485602492,0.0,0.197183098338028,0.845070422535211,0.05633802802112675,0.492957746478873
KOLAI PALAS KOHISTAN,KHYBER PAKHTUNKHWA,HAZARA DIVISION,1508,513,0.24053201298498575,0.0,0.0385321100917431,0.998168498168498,0.096153846238095,0.46697247706422035
KOHISTAN DISTRICT,KHYBER PAKHTUNKHWA,HAZARA DIVISION,1258,476,0.24004400438723872,0.0158415841584158,0.0435643564356435,0.998019802,0.06831683166336651,0.463366336633663
KHUZDAR DISTRICT,BALOCHISTAN,KALAT DIVISION,5653,1250,0.23505170827037336,0.000779423,0.171740827112412,0.961808261886204,0.1204208885424785,0.4076383476227595
KALAT DISTRICT,BALOCHISTAN,KALAT DIVISION,1607,361,0.22825396834920633,0.0,0.28857142857142903,0.934285714285714,0.0900000002142855,0.3614285714285715
NUSHKI DISTRICT,BALOCHISTAN,RAKHSHAN DIVISION,131,45,0.2138888888888889,0.0,0.625,0.65,0.2625,0.325
AWARAN DISTRICT,BALOCHISTAN,KALAT DIVISION,549,241,0.2094425419752533,0.00921659,0.055299538999999995,0.958715596330275,0.00921659,0.41705069136175116
CHOLISTAN,PUNJAB,BAHAWALPUR DIVISION ,603,981,0.20591815479049413,0.06116208,0.359999999769231,0.182926829268293,0.1184333958846155,0.653846153846154
THARPARKAR DISTRICT,SINDH,MIRPUR KHAS DIVISION,1383,170,0.19767441856589152,0.01744186,0.1976744186046514,0.337209302325581,0.13953488377907,0.47965116279069797
DERA BUGTI DISTRICT,BALOCHISTAN,SIBI DIVISION,765,222,0.18948412704761908,0.0223214285714285,0.0625000002857142,0.84375,0.03794642857142855,0.34821428571428603
SIBI DISTRICT,BALOCHISTAN,SIBI DIVISION,344,159,0.16329966329966322,0.0,0.43939393939393906,0.439393939393939,0.12121212121212135,0.14772727272727265
GWADAR DISTRICT,BALOCHISTAN,MEKRAN DIVISION,470,145,0.1317901234329502,0.082758621,0.194444444111111,0.089655172,0.15268199233716487,0.277777777888889
KOHLU DISTRICT,BALOCHISTAN,SIBI DIVISION,929,197,0.12377662633333333,0.005181347,0.0518134713005181,0.865284974093264,0.01554404165025905,0.080310880803109
